Ticker,Ex-Dividend Date,Yield,Period
STAG,7/30/2020,4.91%,monthly
TRGP,7/30/2020,2.16%,quarterly
TGP,7/30/2020,8.90%,quarterly
TVE,7/30/2020,3.30%,quarterly
TXN,7/30/2020,2.72%,quarterly
UVE,7/30/2020,3.72%,quarterly
UNM,7/30/2020,6.52%,quarterly
USAC,7/30/2020,16.59%,quarterly
VRTS,7/30/2020,3.30%,quarterly
WES,7/30/2020,13.03%,quarterly
AES,7/31/2020,3.76%,quarterly
AB,7/31/2020,9.70%,quarterly
ASRV,7/31/2020,3.40%,quarterly
AON,7/31/2020,0.89%,quarterly
MCI,7/31/2020,7.10%,quarterly
BX,7/31/2020,1.80%,quarterly
BMTC,7/31/2020,3.81%,quarterly
CASY,7/31/2020,0.79%,quarterly
CNBKA,7/31/2020,0.76%,quarterly
C,7/31/2020,3.92%,quarterly
DGICA,7/31/2020,4.38%,quarterly
DGICB,7/31/2020,4.71%,quarterly
DMLP,7/31/2020,13.80%,quarterly
EVTC,7/31/2020,0.60%,quarterly
FFDF,7/31/2020,3.06%,quarterly
FBIZ,7/31/2020,4.50%,quarterly
FCCO,7/31/2020,3.60%,quarterly
HAS,7/31/2020,4.20%,quarterly
HEP,7/31/2020,10.30%,quarterly
HFBL,7/31/2020,2.74%,quarterly
KRP,7/31/2020,12.70%,quarterly
KMI,7/31/2020,7.05%,quarterly
LBAI,7/31/2020,4.63%,quarterly
LCUT,7/31/2020,2.50%,quarterly
MATW,7/31/2020,4.30%,quarterly
NSEC,7/31/2020,1.58%,quarterly
NRG,7/31/2020,3.56%,quarterly
NVEC,7/31/2020,6.94%,quarterly
OVLY,7/31/2020,2.30%,semi-annual
OCFC,7/31/2020,4.30%,quarterly
OKE,7/31/2020,12.68%,quarterly
ORRF,7/31/2020,4.79%,quarterly
PAYX,7/31/2020,3.41%,quarterly
PEBO,7/31/2020,6.57%,quarterly
PBCT,7/31/2020,6.30%,quarterly
PNW,7/31/2020,4.05%,quarterly
RBB,7/31/2020,1.90%,quarterly
O,7/31/2020,4.80%,aug 20
RELX,7/31/2020,2.70%,semi-annual
SXT,7/31/2020,2.76%,quarterly
STL,7/31/2020,2.37%,quarterly
SYF,7/31/2020,3.84%,quarterly
TCP,7/31/2020,8.50%,quarterly
TMP,7/31/2020,3.20%,quarterly
WABC,7/31/2020,2.70%,quarterly
ARDC,7/20/2020,9.59%,monthly
CIVB,7/20/2020,3.11%,quarterly
GLV,7/20/2020,13.40%,monthly
GLQ,7/20/2020,11.70%,monthly
GLO,7/20/2020,11.70%,monthly
QYLD,7/20/2020,11.96%,monthly
PLW,7/20/2020,0.57%,monthly
BSML,7/20/2020,0.71%,monthly
BSMM,7/20/2020,0.90%,monthly
BSMN,7/20/2020,1.13%,monthly
BSMO,7/20/2020,1.32%,monthly
BSMP,7/20/2020,1.40%,monthly
BSMQ,7/20/2020,1.75%,monthly
BSMR,7/20/2020,1.75%,monthly
BSMS,7/20/2020,1.81%,monthly
BSMT,7/20/2020,1.86%,monthly
PEY,7/20/2020,5.21%,monthly
KBWD,7/20/2020,11.02%,monthly
KBWY,7/20/2020,13.97%,monthly
VRIG,7/20/2020,1.17%,monthly
HNW,7/20/2020,9.40%,monthly
PHD,7/20/2020,7.58%,monthly
PHT,7/20/2020,10.63%,monthly
MAV,7/20/2020,4.82%,monthly
MHI,7/20/2020,4.67%,monthly
APA,7/21/2020,0.94%,quarterly
CMRE,7/21/2020,7.80%,quarterly
FTHI,7/21/2020,4.80%,monthly
FCAL,7/21/2020,2.16%,monthly
FEMB,7/21/2020,5.40%,monthly
HYLS,7/21/2020,5.21%,monthly
FTLB,7/21/2020,3.25%,monthly
LMBS,7/21/2020,2.32%,monthly
LDSF,7/21/2020,2.42%,monthly
FMB,7/21/2020,2.20%,monthly
MDIV,7/21/2020,3.54%,monthly
FMHI,7/21/2020,3.26%,monthly
FTSL,7/21/2020,3.40%,monthly
FDIV,7/21/2020,4.61%,monthly
FIXD,7/21/2020,1.95%,monthly
FUL,7/21/2020,1.60%,quarterly
LOW,7/21/2020,1.72%,quarterly
SUNS,7/21/2020,9.70%,monthly
AGX,7/22/2020,2.10%,none
BGH,7/22/2020,11.50%,monthly
BIF,7/22/2020,4.40%,quarterly
BCAUY,7/22/2020,4.53%,annual
COO,7/22/2020,,semi-annual
CVS,7/22/2020,3.19%,quarterly
DX,7/22/2020,11.02%,monthly
FSLF,7/22/2020,8.00%,monthly
FEN,7/22/2020,21.50%,quarterly
LTC,7/22/2020,5.89%,monthly
NECB,7/22/2020,1.39%,quarterly
BGB,7/23/2020,10.90%,monthly
BSL,7/23/2020,9.40%,monthly
BRBS,7/23/2020,3.70%,quarterly
COKE,7/23/2020,0.44%,quarterly
EVT,7/23/2020,8.99%,monthly
EVM,7/23/2020,4.50%,monthly
EFF,7/23/2020,5.34%,monthly
EFT,7/23/2020,5.95%,monthly
ETX,7/23/2020,4.14%,monthly
EIM,7/23/2020,4.60%,monthly
ENX,7/23/2020,4.50%,monthly
ETJ,7/23/2020,9.48%,monthly
EFR,7/23/2020,6.83%,monthly
EVG,7/23/2020,7.92%,monthly
ETV,7/23/2020,9.49%,monthly
ETY,7/23/2020,9.29%,monthly
ETO,7/23/2020,8.16%,monthly
ETG,7/23/2020,8.53%,monthly
ETB,7/23/2020,9.21%,monthly
ETW,7/23/2020,9.97%,monthly
EXG,7/23/2020,10.01%,monthly
BUSE,7/23/2020,5.14%,quarterly
FFWM,7/23/2020,1.70%,quarterly
DFP,7/23/2020,7.70%,monthly
PFD,7/23/2020,6.90%,monthly
FLC,7/23/2020,7.80%,monthly
FFC,7/23/2020,7.40%,monthly
GLAD,7/23/2020,10.88%,monthly
GOOD,7/23/2020,8.08%,monthly
GAIN,7/23/2020,8.55%,monthly
LAND,7/23/2020,3.35%,monthly
HFRO,7/23/2020,11.70%,monthly
J,7/23/2020,0.97%,quarterly
KALU,7/23/2020,3.87%,quarterly
LKFN,7/23/2020,2.60%,quarterly
USA,7/23/2020,9.50%,quarterly
ASG,7/23/2020,7.50%,quarterly
MGU,7/23/2020,4.98%,monthly
HIE,7/23/2020,7.88%,monthly
MVC,7/23/2020,10.80%,quarterly
NHF,7/23/2020,11.66%,monthly
NVT,7/23/2020,4.11%,quarterly
PBA,7/23/2020,7.80%,monthly
PNR,7/23/2020,2.23%,quarterly
PBR.A,7/23/2020,3.90%,--
PG,7/23/2020,2.53%,quarterly
PIM,7/23/2020,8.80%,monthly
PMO,7/23/2020,5.00%,monthly
PPT,7/23/2020,8.86%,monthly
UTG,7/23/2020,7.00%,monthly
TYG,7/23/2020,7.80%,quarterly
TEAF,7/23/2020,8.50%,monthly
NTG,7/23/2020,7.70%,quarterly
TPZ,7/23/2020,6.80%,monthly
EMD,7/23/2020,10.30%,monthly
GDO,7/23/2020,7.70%,monthly
EHI,7/23/2020,9.10%,monthly
HIX,7/23/2020,10.30%,monthly
HYI,7/23/2020,8.40%,monthly
WIA,7/23/2020,3.20%,monthly
SBI,7/23/2020,3.40%,monthly
PAI,7/23/2020,4.20%,monthly
MMU,7/23/2020,4.70%,monthly
DMO,7/23/2020,11.60%,monthly
MTT,7/23/2020,3.30%,monthly
MHF,7/23/2020,4.30%,monthly
MNP,7/23/2020,4.20%,monthly
WEA,7/23/2020,6.10%,monthly
GFY,7/23/2020,6.30%,monthly
HIO,7/23/2020,8.70%,monthly
WIW,7/23/2020,3.60%,monthly
WSM,7/23/2020,2.31%,quarterly
BK,7/24/2020,3.18%,quarterly
BCO,7/24/2020,1.49%,quarterly
CE,7/24/2020,2.70%,quarterly
CZNC,7/24/2020,5.80%,quarterly
CLB,7/24/2020,0.20%,quarterly
DHC,7/24/2020,0.95%,quarterly
SVC,7/24/2020,0.57%,quarterly
ILPT,7/24/2020,6.45%,quarterly
MMC,7/24/2020,1.68%,quarterly
OPI,7/24/2020,8.78%,quarterly
RMR,7/24/2020,5.15%,quarterly
RY,7/24/2020,4.60%,quarterly
SAR,7/24/2020,9.92%,quarterly
SLP,7/24/2020,0.38%,quarterly
SPFI,7/24/2020,0.90%,quarterly
SGU,7/24/2020,5.90%,quarterly
TRMT,7/24/2020,1.41%,quarterly
UNB,7/24/2020,6.92%,quarterly
VALU,7/24/2020,3.30%,quarterly
WMK,7/24/2020,2.50%,quarterly
SRCE,8/3/2020,3.23%,quarterly
FIF,8/3/2020,7.24%,monthly
FIV,8/3/2020,2.59%,monthly
BMO,8/3/2020,5.88%,quarterly
BANR,8/3/2020,4.37%,quarterly
BKEPP,8/3/2020,12.40%,quarterly
BKEP,8/3/2020,11.11%,quarterly
CJEWY,8/3/2020,,semi-annual
CAG,8/3/2020,2.31%,quarterly
CAPL,8/3/2020,15.54%,quarterly
EWBC,8/3/2020,3.10%,quarterly
ETRN,8/3/2020,6.30%,quarterly
FDEU,8/3/2020,6.75%,monthly
FSD,8/3/2020,9.77%,monthly
FPF,8/3/2020,7.48%,monthly
FEI,8/3/2020,10.89%,monthly
FPL,8/3/2020,10.88%,monthly
FCT,8/3/2020,11.68%,monthly
FAM,8/3/2020,9.55%,monthly
FMY,8/3/2020,5.27%,monthly
IBCP,8/3/2020,6.00%,quarterly
ITUB,8/3/2020,2.60%,monthly
LMRK,8/3/2020,8.22%,quarterly
MET,8/3/2020,5.00%,quarterly
SHLX,8/3/2020,15.70%,quarterly
SRLP,8/3/2020,15.57%,quarterly
SPH,8/3/2020,8.65%,quarterly
USDP,8/3/2020,14.61%,quarterly
VLO,8/3/2020,6.85%,quarterly
IGD,8/3/2020,9.74%,monthly
IID,8/3/2020,8.59%,monthly
WCN,8/3/2020,0.74%,quarterly
WSR,8/3/2020,5.80%,monthly
BBD,8/4/2020,4.00%,monthly
BBDO,8/4/2020,3.10%,monthly
NTB,8/4/2020,6.60%,quarterly
BRO,8/4/2020,0.75%,quarterly
COLB,8/4/2020,3.70%,quarterly
EIG,8/4/2020,2.93%,quarterly
HFWA,8/4/2020,3.81%,quarterly
IDA,8/4/2020,2.93%,quarterly
MKTX,8/4/2020,0.45%,quarterly
NFBK,8/4/2020,4.18%,quarterly
SFBC,8/4/2020,2.22%,quarterly
WBS,8/4/2020,5.82%,quarterly
WTBA,8/4/2020,5.00%,quarterly
AMG,8/5/2020,0.10%,quarterly
AWI,8/5/2020,1.00%,quarterly
BXG,8/5/2020,,none
DCOM,8/5/2020,4.70%,quarterly
FELE,8/5/2020,1.15%,quarterly
FSBW,8/5/2020,2.26%,quarterly
HTBK,8/5/2020,7.19%,quarterly
HESM,8/5/2020,9.80%,quarterly
KCLI,8/5/2020,4.00%,quarterly
KBH,8/5/2020,1.18%,quarterly
LSBK,8/5/2020,4.20%,quarterly
MATX,8/5/2020,3.35%,quarterly
NEP,8/5/2020,3.60%,quarterly
NGL,8/5/2020,16.99%,quarterly
NWBI,8/5/2020,7.80%,quarterly
OFED,8/5/2020,1.54%,quarterly
OPBK,8/5/2020,4.40%,quarterly
RELL,8/5/2020,5.71%,quarterly
SIMO,8/5/2020,3.10%,quarterly
SXI,8/5/2020,1.56%,quarterly
VBTX,8/5/2020,4.00%,quarterly
WTFC,8/5/2020,2.51%,quarterly
WSFS,8/5/2020,1.72%,quarterly
AWF,8/6/2020,7.60%,monthly
AFB,8/6/2020,4.70%,monthly
ARCB,8/6/2020,0.99%,quarterly
ARTNA,8/6/2020,2.80%,quarterly
BCBP,8/6/2020,6.40%,quarterly
BPFH,8/6/2020,3.90%,quarterly
BRKL,8/6/2020,4.57%,quarterly
CFFN,8/6/2020,3.42%,quarterly
CVCY,8/6/2020,3.19%,quarterly
SCHW,8/6/2020,2.06%,quarterly
CQP,8/6/2020,7.30%,quarterly
CIT,8/6/2020,7.02%,quarterly
CMS,8/6/2020,2.70%,quarterly
CNXM,8/6/2020,16.50%,quarterly
CBAN,8/6/2020,3.80%,quarterly
CMCO,8/6/2020,0.72%,quarterly
CXO,8/6/2020,1.55%,quarterly
CEQP,8/6/2020,18.48%,quarterly
DKL,8/6/2020,12.82%,quarterly
DHF,8/6/2020,9.89%,monthly
ET,8/6/2020,18.30%,quarterly
FRBA,8/6/2020,1.80%,quarterly
FCF,8/6/2020,5.56%,quarterly
FCBC,8/6/2020,4.86%,quarterly
FIBK,8/6/2020,4.64%,quarterly
FE,8/6/2020,4.18%,quarterly
FRAF,8/6/2020,4.80%,quarterly
GMLP,8/6/2020,,quarterly
HTLF,8/6/2020,2.57%,quarterly
HSII,8/6/2020,2.83%,quarterly
HMST,8/6/2020,2.30%,quarterly
INTC,8/6/2020,2.24%,quarterly
JBHT,8/6/2020,0.81%,quarterly
JBSS,8/6/2020,2.88%,annual
LW,8/6/2020,1.34%,quarterly
LBC,8/6/2020,2.40%,quarterly
MMP,8/6/2020,9.82%,quarterly
MMLP,8/6/2020,0.93%,quarterly
MPLX,8/6/2020,15.03%,quarterly
NYCB,8/6/2020,6.50%,quarterly
NXST,8/6/2020,2.64%,quarterly
NBLX,8/6/2020,24.70%,quarterly
NSC,8/6/2020,2.02%,quarterly
NS,8/6/2020,10.80%,quarterly
PPBI,8/6/2020,4.81%,quarterly
PCTI,8/6/2020,3.40%,quarterly
PNFP,8/6/2020,1.58%,quarterly
PNM,8/6/2020,2.94%,quarterly
PZN,8/6/2020,2.30%,quarterly
RBNC,8/6/2020,2.72%,quarterly
RIO,8/6/2020,6.30%,semi-annual
RUSHA,8/6/2020,1.15%,quarterly
RUSHB,8/6/2020,1.35%,quarterly
SBFG,8/6/2020,2.76%,quarterly
SEB,8/6/2020,0.30%,quarterly
SIRI,8/6/2020,0.94%,quarterly
SMBK,8/6/2020,1.43%,quarterly
SBUX,8/6/2020,2.23%,quarterly
SUN,8/6/2020,13.46%,quarterly
AMTD,8/6/2020,3.29%,quarterly
UL,8/6/2020,3.00%,quarterly
UN,8/6/2020,2.60%,quarterly
AUB,8/6/2020,4.40%,quarterly
HCC,8/6/2020,1.20%,quarterly
WAFD,8/6/2020,3.74%,quarterly
WFC,8/6/2020,1.56%,quarterly
ALX,8/7/2020,7.00%,quarterly
ACC,8/7/2020,5.36%,quarterly
AEP,8/7/2020,3.19%,quarterly
AFIN,8/7/2020,10.70%,monthly
AMP,8/7/2020,2.65%,quarterly
AROC,8/7/2020,8.94%,quarterly
ARCO,8/7/2020,1.00%,quarterly
BLX,8/7/2020,8.06%,quarterly
BSBR,8/7/2020,10.00%,quarterly
BEDU,8/7/2020,1.40%,--
CWT,8/7/2020,1.77%,quarterly
CSV,8/7/2020,1.77%,quarterly
CDR,8/7/2020,4.42%,quarterly
FBMS,8/7/2020,1.90%,quarterly
GABC,8/7/2020,2.61%,quarterly
HAFC,8/7/2020,3.50%,quarterly
HTGC,8/7/2020,12.02%,quarterly
HBCP,8/7/2020,3.50%,quarterly
IBM,8/7/2020,5.20%,quarterly
IBTX,8/7/2020,2.29%,quarterly
ISBC,8/7/2020,5.83%,quarterly
JHG,8/7/2020,6.90%,quarterly
KKPNY,8/7/2020,,semi-annual
LSTR,8/7/2020,0.70%,quarterly
LAZ,8/7/2020,6.44%,quarterly
MPX,8/7/2020,2.11%,quarterly
MRBK,8/7/2020,3.30%,quarterly
MPB,8/7/2020,3.86%,quarterly
MC,8/7/2020,3.45%,quarterly
MWA,8/7/2020,2.08%,quarterly
NMM,8/7/2020,3.00%,quarterly
NBL,8/7/2020,0.75%,quarterly
OMF,8/7/2020,4.60%,none
PPG,8/7/2020,1.88%,quarterly
ROL,8/7/2020,0.66%,quarterly
SJW,8/7/2020,2.03%,quarterly
SON,8/7/2020,3.20%,quarterly
SONA,8/7/2020,4.85%,quarterly
SYX,8/7/2020,2.44%,quarterly
GWW,8/7/2020,1.79%,quarterly
WVFC,8/7/2020,3.00%,quarterly
STZ,8/10/2020,1.71%,quarterly
STZ.B,8/10/2020,1.50%,quarterly
EBTC,8/10/2020,3.17%,quarterly
GORO,8/10/2020,0.80%,monthly
HBI,8/10/2020,3.93%,quarterly
HBT,8/10/2020,4.90%,quarterly
MCBC,8/10/2020,4.44%,quarterly
PCAR,8/10/2020,1.66%,quarterly
PGC,8/10/2020,1.20%,quarterly
SWKS,8/10/2020,1.48%,quarterly
SGC,8/10/2020,2.30%,quarterly
UIHC,8/10/2020,3.18%,quarterly
FCCY,8/11/2020,2.90%,quarterly
AWK,8/11/2020,1.50%,quarterly
RA,8/11/2020,14.10%,monthly
BURCA,8/11/2020,8.76%,quarterly
DHI,8/11/2020,1.10%,quarterly
ECC,8/11/2020,17.30%,--
FDP,8/11/2020,1.20%,quarterly
HOMB,8/11/2020,3.03%,quarterly
INVH,8/11/2020,2.18%,quarterly
LGI,8/11/2020,8.90%,monthly
MDC,8/11/2020,2.90%,quarterly
SCCO,8/11/2020,3.50%,quarterly
WNEB,8/11/2020,3.80%,quarterly
WINA,8/11/2020,0.10%,quarterly
COG,8/12/2020,2.16%,quarterly
CATC,8/12/2020,3.93%,quarterly
CSTR,8/12/2020,1.80%,quarterly
XOM,8/12/2020,7.90%,quarterly
GWB,8/12/2020,0.33%,quarterly
STBA,8/12/2020,4.70%,quarterly
ZTR,8/12/2020,11.50%,monthly
VGI,8/12/2020,11.30%,monthly
AHC,8/13/2020,9.40%,quarterly
AGCO,8/13/2020,1.20%,quarterly
ADS,8/13/2020,1.97%,quarterly
AMSWA,8/13/2020,2.56%,quarterly
AIV,8/13/2020,4.34%,quarterly
AIT,8/13/2020,2.10%,quarterly
ASX,8/13/2020,2.10%,annual
ASHTY,8/13/2020,,semi-annual
BPRN,8/13/2020,2.15%,quarterly
BWFG,8/13/2020,3.53%,quarterly
BSET,8/13/2020,3.80%,quarterly
BSM,8/13/2020,8.37%,quarterly
CPTP,8/13/2020,2.30%,quarterly
CHD,8/13/2020,1.08%,quarterly
XEC,8/13/2020,3.58%,quarterly
CGNX,8/13/2020,0.34%,quarterly
FIX,8/13/2020,0.90%,quarterly
CWBC,8/13/2020,2.30%,quarterly
CLM,8/13/2020,22.90%,monthly
CRF,8/13/2020,22.90%,monthly
CTVA,8/13/2020,1.92%,quarterly
DUK,8/13/2020,4.85%,quarterly
DRE,8/13/2020,2.39%,quarterly
EBMT,8/13/2020,2.40%,quarterly
ETN,8/13/2020,3.10%,quarterly
LLY,8/13/2020,1.79%,quarterly
ENB,8/13/2020,7.70%,quarterly
EXC,8/13/2020,4.00%,quarterly
FCFS,8/13/2020,1.70%,quarterly
GSK,8/13/2020,4.90%,quarterly
GRC,8/13/2020,1.80%,quarterly
GCBC,8/13/2020,2.20%,quarterly
PCF,8/13/2020,10.30%,monthly
IP,8/13/2020,5.92%,quarterly
IVZ,8/13/2020,5.79%,quarterly
SJM,8/13/2020,3.38%,quarterly
JBL,8/13/2020,0.95%,quarterly
KIO,8/13/2020,11.80%,monthly
KR,8/13/2020,8.78%,quarterly
LAD,8/13/2020,0.60%,quarterly
MHNC,8/13/2020,10.40%,quarterly
MMS,8/13/2020,1.58%,quarterly
MSEX,8/13/2020,1.55%,quarterly
MSVB,8/13/2020,0.70%,quarterly
MOG.B,8/13/2020,1.87%,quarterly
MOG.A,8/13/2020,1.87%,quarterly
MSCI,8/13/2020,0.79%,quarterly
NBN,8/13/2020,0.22%,quarterly
ODC,8/13/2020,3.00%,quarterly
OGS,8/13/2020,2.80%,quarterly
OBNK,8/13/2020,1.64%,quarterly
PSO,8/13/2020,3.40%,semi-annual
GHY,8/13/2020,9.80%,monthly
ISD,8/13/2020,9.20%,monthly
PSTL,8/13/2020,5.54%,quarterly
PSMT,8/13/2020,1.10%,semi-annual
PGZ,8/13/2020,11.00%,monthly
RTX,8/13/2020,2.56%,quarterly
RS,8/13/2020,2.40%,quarterly
OPP,8/13/2020,15.20%,monthly
RFM,8/13/2020,6.30%,monthly
RMM,8/13/2020,6.40%,monthly
RMI,8/13/2020,5.20%,monthly
RIV,8/13/2020,14.60%,monthly
SIGI,8/13/2020,1.69%,quarterly
SJR,8/13/2020,5.80%,monthly
SMBC,8/13/2020,2.70%,quarterly
STBI,8/13/2020,4.20%,quarterly
RGR,8/13/2020,24.80%,quarterly
SSBI,8/13/2020,4.70%,quarterly
TCF,8/13/2020,5.00%,quarterly
TFX,8/13/2020,0.37%,quarterly
TDE,8/13/2020,8.20%,quarterly
TSBK,8/13/2020,4.62%,quarterly
TANNL,8/13/2020,8.00%,quarterly
TFC,8/13/2020,4.85%,quarterly
UTL,8/13/2020,3.39%,quarterly
V,8/13/2020,0.60%,quarterly
WMT,8/13/2020,1.80%,quarterly
WEC,8/13/2020,2.90%,quarterly
WAL,8/13/2020,2.82%,quarterly
WAB,8/13/2020,0.74%,quarterly
AMGN,8/14/2020,2.56%,quarterly
ARR,8/14/2020,13.00%,monthly
APAM,8/14/2020,7.67%,quarterly
BG,8/14/2020,5.30%,quarterly
CF,8/14/2020,4.27%,quarterly
CC,8/14/2020,5.35%,quarterly
CORR,8/14/2020,2.02%,quarterly
SRV,8/14/2020,8.00%,monthly
SZC,8/14/2020,8.30%,monthly
DTF,8/14/2020,3.40%,monthly
DUC,8/14/2020,6.40%,monthly
EQNR,8/14/2020,4.60%,quarterly
GLU,8/14/2020,7.90%,monthly
GUT,8/14/2020,9.00%,monthly
GGN,8/14/2020,18.10%,monthly
GNT,8/14/2020,7.80%,monthly
HP,8/14/2020,3.70%,quarterly
HIW,8/14/2020,5.02%,quarterly
JEF,8/14/2020,3.86%,quarterly
LNN,8/14/2020,1.37%,quarterly
MNR,8/14/2020,4.68%,quarterly
OSK,8/14/2020,1.53%,quarterly
OXLC,8/14/2020,39.90%,monthly
OXSQ,8/14/2020,22.80%,monthly
ROK,8/14/2020,1.85%,quarterly
PER,8/14/2020,10.43%,quarterly
SO,8/14/2020,4.72%,quarterly
SWX,8/14/2020,3.00%,quarterly
SPOK,8/14/2020,5.18%,quarterly
EDF,8/14/2020,13.79%,monthly
EDI,8/14/2020,12.72%,monthly
GDV,8/14/2020,8.30%,monthly
GROW,8/14/2020,0.90%,monthly
UMH,8/14/2020,5.47%,quarterly
ADX,8/17/2020,1.28%,quarterly
PEO,8/17/2020,3.47%,quarterly
BHB,8/17/2020,4.40%,quarterly
BKH,8/17/2020,3.60%,quarterly
BKCC,8/17/2020,16.46%,quarterly
HRZN,8/17/2020,13.00%,monthly
PSX,8/17/2020,5.62%,quarterly
AFL,8/18/2020,3.09%,quarterly
BGCP,8/18/2020,1.49%,quarterly
CVX,8/18/2020,5.73%,quarterly
FOF,8/18/2020,9.90%,monthly
UTF,8/18/2020,8.50%,monthly
LDP,8/18/2020,7.70%,monthly
RQI,8/18/2020,9.00%,monthly
RNP,8/18/2020,7.90%,monthly
PSF,8/18/2020,7.70%,monthly
RFI,8/18/2020,8.00%,monthly
MIE,8/18/2020,8.50%,monthly
ED,8/18/2020,4.28%,quarterly
ETFC,8/18/2020,1.08%,quarterly
EQIX,8/18/2020,1.38%,quarterly
FTS,8/18/2020,3.53%,quarterly
MAC,8/18/2020,7.55%,quarterly
MAIN,8/18/2020,9.30%,monthly
MPC,8/18/2020,5.81%,quarterly
TGT,8/18/2020,2.27%,quarterly
VMC,8/18/2020,1.14%,quarterly
WBA,8/18/2020,4.42%,quarterly
AMAT,8/19/2020,1.59%,quarterly
CNP,8/19/2020,3.09%,quarterly
DFS,8/19/2020,3.38%,quarterly
EDUC,8/19/2020,2.38%,quarterly
ENR,8/19/2020,2.44%,quarterly
FWRD,8/19/2020,1.40%,quarterly
HTBI,8/19/2020,1.99%,quarterly
LFUS,8/19/2020,1.10%,quarterly
MSFT,8/19/2020,1.05%,quarterly
MCO,8/19/2020,0.80%,quarterly
NLSN,8/19/2020,1.55%,quarterly
RXN,8/19/2020,1.10%,quarterly
GRA,8/19/2020,2.53%,quarterly
BMRRY,8/20/2020,,semi-annual
CTSH,8/20/2020,1.36%,quarterly
CMI,8/20/2020,2.94%,quarterly
FSS,8/20/2020,1.08%,quarterly
HCI,8/20/2020,3.60%,quarterly
HCSG,8/20/2020,3.10%,quarterly
HSY,8/20/2020,2.26%,quarterly
MGPI,8/20/2020,1.34%,quarterly
MTX,8/20/2020,0.40%,quarterly
OTIS,8/20/2020,1.30%,quarterly
PRK,8/20/2020,5.90%,quarterly
SHW,8/20/2020,0.86%,quarterly
TTEK,8/20/2020,0.76%,quarterly
FHB,8/21/2020,5.90%,quarterly
MKSI,8/21/2020,0.60%,quarterly
R,8/21/2020,5.96%,quarterly
BC,8/24/2020,1.40%,quarterly
